# typeid, x, y, z
0  -7.20980978  -7.20943499 -24.46920013
0  -4.32608700  -7.20943499 -24.46920013
0  -1.44236398  -7.20943499 -24.46920013
0   1.44135892  -7.20943499 -24.46920013
0   4.32508183  -7.20943499 -24.46920013
0   7.20880461  -7.20943499 -24.46920013
0  -7.20980978  -4.32571220 -24.46920013
0  -4.32608700  -4.32571220 -24.46920013
0  -1.44236398  -4.32571220 -24.46920013
0   1.44135892  -4.32571220 -24.46920013
0   4.32508183  -4.32571220 -24.46920013
0   7.20880461  -4.32571220 -24.46920013
0  -7.20980978  -1.44198942 -24.46920013
0  -4.32608700  -1.44198942 -24.46920013
0  -1.44236398  -1.44198942 -24.46920013
0   1.44135892  -1.44198942 -24.46920013
0   4.32508183  -1.44198942 -24.46920013
0   7.20880461  -1.44198942 -24.46920013
0  -7.20980978   1.44173348 -24.46920013
0  -4.32608700   1.44173348 -24.46920013
0  -1.44236398   1.44173348 -24.46920013
0   1.44135892   1.44173348 -24.46920013
0   4.32508183   1.44173348 -24.46920013
0   7.20880461   1.44173348 -24.46920013
0  -7.20980978   4.32545614 -24.46920013
0  -4.32608700   4.32545614 -24.46920013
0  -1.44236398   4.32545614 -24.46920013
0   1.44135892   4.32545614 -24.46920013
0   4.32508183   4.32545614 -24.46920013
0   7.20880461   4.32545614 -24.46920013
0  -7.20980978   7.20917940 -24.46920013
0  -4.32608700   7.20917940 -24.46920013
0  -1.44236398   7.20917940 -24.46920013
0   1.44135892   7.20917940 -24.46920013
0   4.32508183   7.20917940 -24.46920013
0   7.20880461   7.20917940 -24.46920013
0  -8.65167141  -8.65129662 -22.43009949
0  -5.76794815  -8.65129662 -22.43009949
0  -2.88422537  -8.65129662 -22.43009949
0  -0.00050252  -8.65129662 -22.43009949
0   2.88322043  -8.65129662 -22.43009949
0   5.76694345  -8.65129662 -22.43009949
0   8.65066624  -8.65129662 -22.43009949
0  -8.65167141  -5.76757383 -22.43009949
0   8.65066624  -5.76757383 -22.43009949
0  -8.65167141  -2.88385081 -22.43009949
0   8.65066624  -2.88385081 -22.43009949
0  -8.65167141  -0.00012799 -22.43009949
0   8.65066624  -0.00012799 -22.43009949
0  -8.65167141   2.88359499 -22.43009949
0   8.65066624   2.88359499 -22.43009949
0  -8.65167141   5.76731777 -22.43009949
0   8.65066624   5.76731777 -22.43009949
0  -8.65167141   8.65104103 -22.43009949
0  -5.76794815   8.65104103 -22.43009949
0  -2.88422537   8.65104103 -22.43009949
0  -0.00050252   8.65104103 -22.43009949
0   2.88322043   8.65104103 -22.43009949
0   5.76694345   8.65104103 -22.43009949
0   8.65066624   8.65104103 -22.43009949
0 -10.09353256 -10.09315777 -20.39100075
0  -7.20980978 -10.09315777 -20.39100075
0  -4.32608700 -10.09315777 -20.39100075
0  -1.44236398 -10.09315777 -20.39100075
0   1.44135892 -10.09315777 -20.39100075
0   4.32508183 -10.09315777 -20.39100075
0   7.20880461 -10.09315777 -20.39100075
0  10.09252739 -10.09315777 -20.39100075
0 -10.09353256  -7.20943499 -20.39100075
0  10.09252739  -7.20943499 -20.39100075
0 -10.09353256  -4.32571220 -20.39100075
0  10.09252739  -4.32571220 -20.39100075
0 -10.09353256  -1.44198942 -20.39100075
0  10.09252739  -1.44198942 -20.39100075
0 -10.09353256   1.44173348 -20.39100075
0  10.09252739   1.44173348 -20.39100075
0 -10.09353256   4.32545614 -20.39100075
0  10.09252739   4.32545614 -20.39100075
0 -10.09353256   7.20917940 -20.39100075
0  10.09252739   7.20917940 -20.39100075
0 -10.09353256  10.09290218 -20.39100075
0  -7.20980978  10.09290218 -20.39100075
0  -4.32608700  10.09290218 -20.39100075
0  -1.44236398  10.09290218 -20.39100075
0   1.44135892  10.09290218 -20.39100075
0   4.32508183  10.09290218 -20.39100075
0   7.20880461  10.09290218 -20.39100075
0  10.09252739  10.09290218 -20.39100075
0 -11.53539371 -11.53501987 -18.35190010
0  -8.65167141 -11.53501987 -18.35190010
0  -5.76794815 -11.53501987 -18.35190010
0  -2.88422537 -11.53501987 -18.35190010
0  -0.00050252 -11.53501987 -18.35190010
0   2.88322043 -11.53501987 -18.35190010
0   5.76694345 -11.53501987 -18.35190010
0   8.65066624 -11.53501987 -18.35190010
0  11.53438854 -11.53501987 -18.35190010
0 -11.53539371  -8.65129662 -18.35190010
0  11.53438854  -8.65129662 -18.35190010
0 -11.53539371  -5.76757383 -18.35190010
0  11.53438854  -5.76757383 -18.35190010
0 -11.53539371  -2.88385081 -18.35190010
0  11.53438854  -2.88385081 -18.35190010
0 -11.53539371  -0.00012799 -18.35190010
0  11.53438854  -0.00012799 -18.35190010
0 -11.53539371   2.88359499 -18.35190010
0  11.53438854   2.88359499 -18.35190010
0 -11.53539371   5.76731777 -18.35190010
0  11.53438854   5.76731777 -18.35190010
0 -11.53539371   8.65104103 -18.35190010
0  11.53438854   8.65104103 -18.35190010
0 -11.53539371  11.53476334 -18.35190010
0  -8.65167141  11.53476334 -18.35190010
0  -5.76794815  11.53476334 -18.35190010
0  -2.88422537  11.53476334 -18.35190010
0  -0.00050252  11.53476334 -18.35190010
0   2.88322043  11.53476334 -18.35190010
0   5.76694345  11.53476334 -18.35190010
0   8.65066624  11.53476334 -18.35190010
0  11.53438854  11.53476334 -18.35190010
0 -12.97725582 -12.97688103 -16.31279945
0 -10.09353256 -12.97688103 -16.31279945
0  -7.20980978 -12.97688103 -16.31279945
0  -4.32608700 -12.97688103 -16.31279945
0  -1.44236398 -12.97688103 -16.31279945
0   1.44135892 -12.97688103 -16.31279945
0   4.32508183 -12.97688103 -16.31279945
0   7.20880461 -12.97688103 -16.31279945
0  10.09252739 -12.97688103 -16.31279945
0  12.97625065 -12.97688103 -16.31279945
0 -12.97725582 -10.09315777 -16.31279945
0  12.97625065 -10.09315777 -16.31279945
0 -12.97725582  -7.20943499 -16.31279945
0  12.97625065  -7.20943499 -16.31279945
0 -12.97725582  -4.32571220 -16.31279945
0  12.97625065  -4.32571220 -16.31279945
0 -12.97725582  -1.44198942 -16.31279945
0  12.97625065  -1.44198942 -16.31279945
0 -12.97725582   1.44173348 -16.31279945
0  12.97625065   1.44173348 -16.31279945
0 -12.97725582   4.32545614 -16.31279945
0  12.97625065   4.32545614 -16.31279945
0 -12.97725582   7.20917940 -16.31279945
0  12.97625065   7.20917940 -16.31279945
0 -12.97725582  10.09290218 -16.31279945
0  12.97625065  10.09290218 -16.31279945
0 -12.97725582  12.97662449 -16.31279945
0 -10.09353256  12.97662449 -16.31279945
0  -7.20980978  12.97662449 -16.31279945
0  -4.32608700  12.97662449 -16.31279945
0  -1.44236398  12.97662449 -16.31279945
0   1.44135892  12.97662449 -16.31279945
0   4.32508183  12.97662449 -16.31279945
0   7.20880461  12.97662449 -16.31279945
0  10.09252739  12.97662449 -16.31279945
0  12.97625065  12.97662449 -16.31279945
0 -14.41911697 -14.41874218 -14.27369976
0 -11.53539371 -14.41874218 -14.27369976
0  -8.65167141 -14.41874218 -14.27369976
0  -5.76794815 -14.41874218 -14.27369976
0  -2.88422537 -14.41874218 -14.27369976
0  -0.00050252 -14.41874218 -14.27369976
0   2.88322043 -14.41874218 -14.27369976
0   5.76694345 -14.41874218 -14.27369976
0   8.65066624 -14.41874218 -14.27369976
0  11.53438854 -14.41874218 -14.27369976
0  14.41811180 -14.41874218 -14.27369976
0 -14.41911697 -11.53501987 -14.27369976
0  14.41811180 -11.53501987 -14.27369976
0 -14.41911697  -8.65129662 -14.27369976
0  14.41811180  -8.65129662 -14.27369976
0 -14.41911697  -5.76757383 -14.27369976
0  14.41811180  -5.76757383 -14.27369976
0 -14.41911697  -2.88385081 -14.27369976
0  14.41811180  -2.88385081 -14.27369976
0 -14.41911697  -0.00012799 -14.27369976
0  14.41811180  -0.00012799 -14.27369976
0 -14.41911697   2.88359499 -14.27369976
0  14.41811180   2.88359499 -14.27369976
0 -14.41911697   5.76731777 -14.27369976
0  14.41811180   5.76731777 -14.27369976
0 -14.41911697   8.65104103 -14.27369976
0  14.41811180   8.65104103 -14.27369976
0 -14.41911697  11.53476334 -14.27369976
0  14.41811180  11.53476334 -14.27369976
0 -14.41911697  14.41848660 -14.27369976
0 -11.53539371  14.41848660 -14.27369976
0  -8.65167141  14.41848660 -14.27369976
0  -5.76794815  14.41848660 -14.27369976
0  -2.88422537  14.41848660 -14.27369976
0  -0.00050252  14.41848660 -14.27369976
0   2.88322043  14.41848660 -14.27369976
0   5.76694345  14.41848660 -14.27369976
0   8.65066624  14.41848660 -14.27369976
0  11.53438854  14.41848660 -14.27369976
0  14.41811180  14.41848660 -14.27369976
0 -15.86097813 -15.86060333 -12.23460007
0 -12.97725582 -15.86060333 -12.23460007
0 -10.09353256 -15.86060333 -12.23460007
0  -7.20980978 -15.86060333 -12.23460007
0  -4.32608700 -15.86060333 -12.23460007
0  -1.44236398 -15.86060333 -12.23460007
0   1.44135892 -15.86060333 -12.23460007
0   4.32508183 -15.86060333 -12.23460007
0   7.20880461 -15.86060333 -12.23460007
0  10.09252739 -15.86060333 -12.23460007
0  12.97625065 -15.86060333 -12.23460007
0  15.85997295 -15.86060333 -12.23460007
0 -15.86097813 -12.97688103 -12.23460007
0  15.85997295 -12.97688103 -12.23460007
0 -15.86097813 -10.09315777 -12.23460007
0  15.85997295 -10.09315777 -12.23460007
0 -15.86097813  -7.20943499 -12.23460007
0  15.85997295  -7.20943499 -12.23460007
0 -15.86097813  -4.32571220 -12.23460007
0  15.85997295  -4.32571220 -12.23460007
0 -15.86097813  -1.44198942 -12.23460007
0  15.85997295  -1.44198942 -12.23460007
0 -15.86097813   1.44173348 -12.23460007
0  15.85997295   1.44173348 -12.23460007
0 -15.86097813   4.32545614 -12.23460007
0  15.85997295   4.32545614 -12.23460007
0 -15.86097813   7.20917940 -12.23460007
0  15.85997295   7.20917940 -12.23460007
0 -15.86097813  10.09290218 -12.23460007
0  15.85997295  10.09290218 -12.23460007
0 -15.86097813  12.97662449 -12.23460007
0  15.85997295  12.97662449 -12.23460007
0 -15.86097813  15.86034775 -12.23460007
0 -12.97725582  15.86034775 -12.23460007
0 -10.09353256  15.86034775 -12.23460007
0  -7.20980978  15.86034775 -12.23460007
0  -4.32608700  15.86034775 -12.23460007
0  -1.44236398  15.86034775 -12.23460007
0   1.44135892  15.86034775 -12.23460007
0   4.32508183  15.86034775 -12.23460007
0   7.20880461  15.86034775 -12.23460007
0  10.09252739  15.86034775 -12.23460007
0  12.97625065  15.86034775 -12.23460007
0  15.85997295  15.86034775 -12.23460007
0 -14.41911697 -17.30246544 -10.19550037
0 -11.53539371 -17.30246544 -10.19550037
0  -8.65167141 -17.30246544 -10.19550037
0  -5.76794815 -17.30246544 -10.19550037
0  -2.88422537 -17.30246544 -10.19550037
0  -0.00050252 -17.30246544 -10.19550037
0   2.88322043 -17.30246544 -10.19550037
0   5.76694345 -17.30246544 -10.19550037
0   8.65066624 -17.30246544 -10.19550037
0  11.53438854 -17.30246544 -10.19550037
0  14.41811180 -17.30246544 -10.19550037
0 -17.30283928 -14.41874218 -10.19550037
0  17.30183411 -14.41874218 -10.19550037
0 -17.30283928 -11.53501987 -10.19550037
0  17.30183411 -11.53501987 -10.19550037
0 -17.30283928  -8.65129662 -10.19550037
0  17.30183411  -8.65129662 -10.19550037
0 -17.30283928  -5.76757383 -10.19550037
0  17.30183411  -5.76757383 -10.19550037
0 -17.30283928  -2.88385081 -10.19550037
0  17.30183411  -2.88385081 -10.19550037
0 -17.30283928  -0.00012799 -10.19550037
0  17.30183411  -0.00012799 -10.19550037
0 -17.30283928   2.88359499 -10.19550037
0  17.30183411   2.88359499 -10.19550037
0 -17.30283928   5.76731777 -10.19550037
0  17.30183411   5.76731777 -10.19550037
0 -17.30283928   8.65104103 -10.19550037
0  17.30183411   8.65104103 -10.19550037
0 -17.30283928  11.53476334 -10.19550037
0  17.30183411  11.53476334 -10.19550037
0 -17.30283928  14.41848660 -10.19550037
0  17.30183411  14.41848660 -10.19550037
0 -14.41911697  17.30220985 -10.19550037
0 -11.53539371  17.30220985 -10.19550037
0  -8.65167141  17.30220985 -10.19550037
0  -5.76794815  17.30220985 -10.19550037
0  -2.88422537  17.30220985 -10.19550037
0  -0.00050252  17.30220985 -10.19550037
0   2.88322043  17.30220985 -10.19550037
0   5.76694345  17.30220985 -10.19550037
0   8.65066624  17.30220985 -10.19550037
0  11.53438854  17.30220985 -10.19550037
0  14.41811180  17.30220985 -10.19550037
0 -12.97725582 -18.74432755  -8.15639973
0 -10.09353256 -18.74432755  -8.15639973
0  -7.20980978 -18.74432755  -8.15639973
0  -4.32608700 -18.74432755  -8.15639973
0  -1.44236398 -18.74432755  -8.15639973
0   1.44135892 -18.74432755  -8.15639973
0   4.32508183 -18.74432755  -8.15639973
0   7.20880461 -18.74432755  -8.15639973
0  10.09252739 -18.74432755  -8.15639973
0  12.97625065 -18.74432755  -8.15639973
0 -15.86097813 -15.86060333  -8.15639973
0  15.85997295 -15.86060333  -8.15639973
0 -18.74470139 -12.97688103  -8.15639973
0  18.74369621 -12.97688103  -8.15639973
0 -18.74470139 -10.09315777  -8.15639973
0  18.74369621 -10.09315777  -8.15639973
0 -18.74470139  -7.20943499  -8.15639973
0  18.74369621  -7.20943499  -8.15639973
0 -18.74470139  -4.32571220  -8.15639973
0  18.74369621  -4.32571220  -8.15639973
0 -18.74470139  -1.44198942  -8.15639973
0  18.74369621  -1.44198942  -8.15639973
0 -18.74470139   1.44173348  -8.15639973
0  18.74369621   1.44173348  -8.15639973
0 -18.74470139   4.32545614  -8.15639973
0  18.74369621   4.32545614  -8.15639973
0 -18.74470139   7.20917940  -8.15639973
0  18.74369621   7.20917940  -8.15639973
0 -18.74470139  10.09290218  -8.15639973
0  18.74369621  10.09290218  -8.15639973
0 -18.74470139  12.97662449  -8.15639973
0  18.74369621  12.97662449  -8.15639973
0 -15.86097813  15.86034775  -8.15639973
0  15.85997295  15.86034775  -8.15639973
0 -12.97725582  18.74407005  -8.15639973
0 -10.09353256  18.74407005  -8.15639973
0  -7.20980978  18.74407005  -8.15639973
0  -4.32608700  18.74407005  -8.15639973
0  -1.44236398  18.74407005  -8.15639973
0   1.44135892  18.74407005  -8.15639973
0   4.32508183  18.74407005  -8.15639973
0   7.20880461  18.74407005  -8.15639973
0  10.09252739  18.74407005  -8.15639973
0  12.97625065  18.74407005  -8.15639973
0 -11.53539371 -20.18618774  -6.11730003
0  -8.65167141 -20.18618774  -6.11730003
0  -5.76794815 -20.18618774  -6.11730003
0  -2.88422537 -20.18618774  -6.11730003
0  -0.00050252 -20.18618774  -6.11730003
0   2.88322043 -20.18618774  -6.11730003
0   5.76694345 -20.18618774  -6.11730003
0   8.65066624 -20.18618774  -6.11730003
0  11.53438854 -20.18618774  -6.11730003
0 -14.41911697 -17.30246544  -6.11730003
0  14.41811180 -17.30246544  -6.11730003
0 -17.30283928 -14.41874218  -6.11730003
0  17.30183411 -14.41874218  -6.11730003
0 -20.18656349 -11.53501987  -6.11730003
0  20.18555832 -11.53501987  -6.11730003
0 -20.18656349  -8.65129662  -6.11730003
0  20.18555832  -8.65129662  -6.11730003
0 -20.18656349  -5.76757383  -6.11730003
